               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.035311,            0.052768,          0.00025626,             0.93671,             0.90636,             0.94531,             0.61874,            0.036571,            0.055224,           0.0016667,           0.0037135,           0.0037135,           0.0037135
                 129,            0.034964,            0.052417,          0.00025596,             0.93717,             0.90582,             0.94531,             0.61753,            0.036598,              0.0553,           0.0016383,            0.003664,            0.003664,            0.003664
                 130,            0.035335,            0.052973,          0.00028121,             0.93672,             0.90724,             0.94602,             0.61764,             0.03662,            0.055378,           0.0016081,           0.0036145,           0.0036145,           0.0036145
                 131,            0.035135,            0.053084,          0.00027338,             0.94004,             0.90417,             0.94589,             0.61741,            0.036601,            0.055249,           0.0015881,            0.003565,            0.003565,            0.003565
                 132,             0.03509,            0.053069,          0.00025893,             0.93884,             0.90642,             0.94504,             0.61712,            0.036597,            0.055224,           0.0016032,           0.0035155,           0.0035155,           0.0035155
                 133,            0.034949,             0.05331,          0.00025369,             0.93426,             0.90862,             0.94569,             0.61794,            0.036598,            0.055201,           0.0015947,            0.003466,            0.003466,            0.003466
                 134,            0.035007,            0.052324,          0.00023004,             0.93418,             0.91049,              0.9458,             0.61653,            0.036621,            0.055281,           0.0015924,           0.0034165,           0.0034165,           0.0034165
                 135,             0.03488,            0.051326,          0.00024614,             0.93729,             0.90681,             0.94641,             0.61787,            0.036632,            0.055273,           0.0015516,            0.003367,            0.003367,            0.003367
                 136,            0.034821,            0.052676,          0.00023455,             0.93551,             0.90821,             0.94651,             0.61864,             0.03663,            0.055246,           0.0014742,           0.0033175,           0.0033175,           0.0033175
                 137,            0.034797,            0.052974,          0.00025136,             0.93313,             0.90934,              0.9459,             0.61854,             0.03664,            0.055275,           0.0014795,            0.003268,            0.003268,            0.003268
                 138,            0.034537,            0.051473,          0.00023881,             0.93534,             0.90716,              0.9449,             0.61782,            0.036629,            0.055243,           0.0015007,           0.0032185,           0.0032185,           0.0032185
                 139,            0.034887,            0.052257,          0.00023165,             0.93572,             0.90639,             0.94545,             0.61847,            0.036629,             0.05527,           0.0015155,            0.003169,            0.003169,            0.003169
                 140,            0.034737,            0.052184,          0.00026269,             0.93901,              0.9053,             0.94597,             0.61884,            0.036626,            0.055311,           0.0014882,           0.0031195,           0.0031195,           0.0031195
                 141,            0.034556,            0.052478,          0.00025242,             0.93655,             0.90594,             0.94439,             0.61889,            0.036609,            0.055368,           0.0015078,             0.00307,             0.00307,             0.00307
                 142,            0.034785,            0.051964,          0.00024138,             0.93658,             0.90655,             0.94408,             0.61896,            0.036611,            0.055412,           0.0015255,           0.0030205,           0.0030205,           0.0030205
                 143,            0.034203,            0.050781,          0.00023742,             0.93436,             0.90816,             0.94402,             0.61863,            0.036605,            0.055409,           0.0015698,            0.002971,            0.002971,            0.002971
                 144,            0.034595,            0.052742,          0.00023365,             0.93541,             0.90815,             0.94451,             0.61805,            0.036604,            0.055423,           0.0015762,           0.0029215,           0.0029215,           0.0029215
                 145,            0.034544,            0.051103,          0.00024392,             0.93434,             0.90865,             0.94408,             0.61851,            0.036638,            0.055497,           0.0015647,            0.002872,            0.002872,            0.002872
                 146,            0.034334,            0.051745,          0.00022226,             0.93654,             0.90865,             0.94431,             0.61823,            0.036639,            0.055514,           0.0015713,           0.0028225,           0.0028225,           0.0028225
                 147,            0.034508,            0.052382,          0.00022229,             0.93854,             0.90732,             0.94458,             0.61848,            0.036641,            0.055523,           0.0015904,            0.002773,            0.002773,            0.002773
                 148,            0.034456,            0.051633,          0.00022345,             0.93805,             0.90714,             0.94466,             0.61846,            0.036655,            0.055561,           0.0016091,           0.0027235,           0.0027235,           0.0027235
                 149,            0.034621,            0.052532,           0.0002433,             0.93797,              0.9074,              0.9447,             0.61789,            0.036657,            0.055554,           0.0016218,            0.002674,            0.002674,            0.002674
                 150,            0.034231,            0.050949,          0.00023159,             0.93755,             0.90725,             0.94414,             0.61758,            0.036665,            0.055572,           0.0016313,           0.0026245,           0.0026245,           0.0026245
                 151,            0.034394,            0.052293,          0.00021324,             0.93581,              0.9076,             0.94462,              0.6177,            0.036678,            0.055604,           0.0016426,            0.002575,            0.002575,            0.002575
                 152,            0.034189,            0.051184,          0.00024847,             0.93582,             0.90753,             0.94408,             0.61751,            0.036694,             0.05565,           0.0016535,           0.0025255,           0.0025255,           0.0025255
                 153,            0.034118,            0.050303,          0.00022853,             0.93551,             0.90819,             0.94322,             0.61724,              0.0367,            0.055694,           0.0016542,            0.002476,            0.002476,            0.002476
                 154,            0.034315,            0.051494,          0.00021296,               0.936,             0.90609,             0.94321,             0.61783,             0.03672,            0.055733,           0.0016687,           0.0024265,           0.0024265,           0.0024265
