               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.020266,           0.0069765,          0.00074136,             0.87422,             0.64839,             0.70156,             0.52397,            0.024452,            0.010545,           0.0061877,            0.003565,            0.003565,            0.003565
                 132,              0.0197,           0.0066664,          0.00056641,              0.9011,             0.63503,             0.70472,               0.526,            0.024434,             0.01059,           0.0061575,           0.0035155,           0.0035155,           0.0035155
                 133,            0.019616,           0.0069019,          0.00055776,             0.90247,             0.63742,             0.70826,             0.52853,            0.024391,            0.010514,             0.00598,            0.003466,            0.003466,            0.003466
                 134,            0.019873,           0.0065712,          0.00076659,             0.90373,             0.64371,             0.70821,             0.52648,            0.024412,            0.010493,           0.0059347,           0.0034165,           0.0034165,           0.0034165
                 135,            0.019933,           0.0069822,          0.00082021,             0.91254,             0.64438,             0.71062,             0.52626,            0.024378,            0.010481,           0.0056708,            0.003367,            0.003367,            0.003367
                 136,            0.019703,           0.0068536,          0.00077022,             0.91788,             0.64752,              0.7122,             0.52757,            0.024336,            0.010411,           0.0053399,           0.0033175,           0.0033175,           0.0033175
                 137,             0.01976,           0.0070586,          0.00074297,             0.91103,               0.648,             0.71259,             0.52822,            0.024327,            0.010301,           0.0052298,            0.003268,            0.003268,            0.003268
                 138,             0.01976,           0.0067306,           0.0007129,             0.89164,             0.66382,             0.71569,             0.52723,            0.024347,             0.01025,           0.0052666,           0.0032185,           0.0032185,           0.0032185
                 139,            0.019987,           0.0070105,          0.00066628,             0.89588,             0.66115,             0.71643,             0.52829,            0.024344,            0.010168,           0.0052547,            0.003169,            0.003169,            0.003169
                 140,            0.019474,            0.006788,          0.00069722,             0.89621,             0.66519,             0.71623,             0.52677,             0.02435,            0.010191,           0.0051753,           0.0031195,           0.0031195,           0.0031195
                 141,            0.019253,           0.0066468,          0.00064795,             0.89798,             0.66437,             0.71318,             0.52548,            0.024403,            0.010203,           0.0052157,             0.00307,             0.00307,             0.00307
                 142,            0.019914,           0.0071147,          0.00065917,             0.91743,             0.65456,             0.71174,             0.52355,            0.024392,             0.01022,           0.0051051,           0.0030205,           0.0030205,           0.0030205
                 143,             0.01945,           0.0069818,          0.00080415,             0.91015,              0.6546,             0.71062,             0.52315,            0.024399,            0.010193,           0.0050196,            0.002971,            0.002971,            0.002971
                 144,            0.019169,           0.0066002,          0.00070276,             0.92326,             0.65347,             0.71156,             0.52298,            0.024393,            0.010213,           0.0050203,           0.0029215,           0.0029215,           0.0029215
                 145,            0.018902,           0.0064716,           0.0005024,             0.91665,             0.65323,             0.71293,             0.52411,             0.02442,            0.010292,           0.0051257,            0.002872,            0.002872,            0.002872
